time_s,torso_x_m,torso_height_m,tilt_deg,foot_slip_m,target_tracking_rmse_rad
0.0,0.0,0.45,0.0,0.0,0.0
0.020000000000000004,-1.8497011749757958e-18,0.44950185400516185,0.0,0.00021145207895495994,0.007477046601826583
0.04000000000000002,-6.100416407349152e-06,0.45051436149659607,0.003194044805136952,0.00030662583699155315,0.007907105472527494
0.06000000000000004,-3.267845213227785e-05,0.45263804207539343,0.006698561346162181,0.0004425122189702683,0.002081956339353894
0.08000000000000006,-7.659734891588513e-05,0.45265819918624,0.0030822924308927004,0.0005714998494710005,0.0048138439931892955
0.10000000000000007,-8.60401259786375e-05,0.4515869513037109,0.010593933016296752,0.000843533839164207,0.010587880968781372
0.12000000000000009,4.896115059136847e-05,0.45185033585202355,0.04147045893397894,0.0010221921519372457,0.012457517489729378
0.1400000000000001,0.0004935783701580577,0.45263554461766214,0.11099349779233035,0.0013549448999218446,0.014693957467010271
0.16000000000000011,0.0014067718260014571,0.4528988090413926,0.23685204179091834,0.0017623850332648598,0.017358695453634044
0.18000000000000013,0.002896625192888036,0.45276173024599364,0.40181575119378676,0.002542488656393322,0.019546885215232592
0.20000000000000015,0.004785117413234121,0.45211288369692776,0.6159382069572242,0.002962977725782396,0.02252721310321037
0.22000000000000017,0.006476537442798896,0.4508225408432493,0.5954829398118517,0.003573160908576778,0.02550982523803927
0.24000000000000019,0.007388364134922363,0.4484920454672471,0.13900238909833734,0.004733302307385778,0.02287139717925264
0.2600000000000002,0.007012355826712959,0.4440173622550401,0.41659777650840546,0.005223223607244709,0.024837686589645153
0.2800000000000002,0.004928098865532011,0.43864340669905527,0.568795924808201,0.00668937759858806,0.03148412438252415
0.3000000000000002,0.0014840956867396588,0.4361966039073935,0.5495646526987834,0.007270187397988171,0.03356873145384661
0.32000000000000023,-0.0023406712518658952,0.43753263306754125,0.791569723129479,0.007809803807432152,0.03247162690007335
0.34000000000000025,-0.006009675061103395,0.43979886751023833,1.078970707397623,0.0084315891669053,0.030354601451443183
0.36000000000000026,-0.00849112849777743,0.44002735009895605,1.5786385566352013,0.009315756995999158,0.030351105852016752
0.3800000000000003,-0.008880145825270296,0.44053989793841297,3.130638277316294,0.010258045400677188,0.03534969404927105
0.4000000000000003,-0.007742369330439591,0.4436923375384225,4.57249548309134,0.010790733670135562,0.03331879351466896
0.4200000000000003,-0.005193464824219462,0.44803945724061583,5.6384339236449055,0.01145886652171912,0.03188580055131124
0.44000000000000034,-0.0009197599104449841,0.45063379488430644,6.932182204107092,0.014608032620426143,0.02824274744266037
0.46000000000000035,0.0036760342605088475,0.4491633179997361,7.677690017490433,0.016295018333320355,0.017850816489221617
0.48000000000000037,0.00833057435718609,0.4453594674452218,7.637244970039955,0.0163496204033436,0.023963096323342446
0.5000000000000003,0.015077114352703841,0.4418634457450668,7.281205526818258,0.01639821920028463,0.02685087156221494
0.5200000000000004,0.023705461339250767,0.43888806035268846,6.60161776895422,0.0164875718567525,0.018123179073041475
0.5400000000000004,0.03254163979717553,0.43397535878478516,5.518410973386917,0.01767064498436758,0.020918229267690863
0.5600000000000004,0.04194589894270979,0.42550054572187895,3.9302869372334706,0.018146524752962027,0.02302039388832043
0.5800000000000004,0.05287058444528846,0.4138342866078252,2.402388098182271,0.018872801951966875,0.018768810515193735
0.6000000000000004,0.06403159080425529,0.3999844170065264,1.4113760977519083,0.019086906319416067,0.026927650986726562
0.6200000000000004,0.074815447121997,0.3871913794256755,1.6213811119501813,0.02013160977970183,0.028917652607813003
0.6400000000000005,0.08589248630540508,0.3788135383850461,1.6391329985435381,0.022317849433375798,0.03581655215831962
0.6600000000000005,0.09538731904350654,0.3755783708333019,1.6838009148752981,0.02508205573999331,0.04606467074392831
0.6800000000000005,0.10174407780457208,0.3771024280187568,0.8969495103137303,0.027965464247142358,0.0388169097172512
0.7000000000000005,0.10554906527005019,0.38016986442713646,1.0710926411622699,0.029000523871275632,0.034200607874981144
0.7200000000000005,0.10931231848793893,0.38248015308294814,2.168286829229204,0.03047583991313313,0.030865874907907077
0.7400000000000005,0.11385453715598694,0.3831049136687248,1.7920600719784239,0.03147486631823181,0.021147970011029284
0.7600000000000006,0.1187203079480617,0.38231189287037337,1.7788861524879667,0.03162685052479016,0.023714174726707154
0.7800000000000006,0.12465812011992015,0.38170095129758524,2.19455278537827,0.03170646526677235,0.022299122957490786
0.8000000000000006,0.13287438846632463,0.37999786316493617,1.8115227452692144,0.03291640527552752,0.02219762065507399
0.8200000000000006,0.14217037442225353,0.3753063952549023,1.200642561231662,0.03330337744217715,0.027273539037378582
0.8400000000000006,0.15002537464765858,0.36792120931810296,0.5204736289208997,0.03460315637295833,0.03027343723197001
0.8600000000000007,0.15585693676167178,0.362376802090848,0.26637017883461744,0.035492229783949204,0.036961209514256556
0.8800000000000007,0.16095311712256094,0.361808162604179,0.7731779770341201,0.03919071798360756,0.0336206388341514
0.9000000000000007,0.16423387437041784,0.36699472512686715,0.6763409719999006,0.04181639999754022,0.018066697555111647
0.9200000000000007,0.16636991959198377,0.37231680780374843,0.10683881527130507,0.04365590983793995,0.014500491381593464
0.9400000000000007,0.17004019382963467,0.3733617830947932,0.4196279369363871,0.04435305485079329,0.015948340961821014
0.9600000000000007,0.17460870553066585,0.3713671821682394,0.8514887685005864,0.046046371888802874,0.013640418350160596
0.9800000000000008,0.1780031109157719,0.3664054537622227,0.3213368534631239,0.04766953608431399,0.014156937421493248
1.0000000000000007,0.18160718853604232,0.36287730812648145,0.5862259597156472,0.04928189437872629,0.018559474547585858
1.0200000000000007,0.18726431471370986,0.3644252589034412,0.4021344440498045,0.050175698502634064,0.012538228616638995
1.0400000000000007,0.19427933371644598,0.36636242069797814,0.4049601819277912,0.05060641079578057,0.014360246927084494
1.0600000000000007,0.20180227661502792,0.36668150344727496,0.4286874803608463,0.05218915862437291,0.012246327071292057
1.0800000000000007,0.20928405173272197,0.36622284605247196,0.12334853613356568,0.05352719440546592,0.01221508856823075
1.1000000000000008,0.21597520621455152,0.3646650573625356,0.17495308606327833,0.054227172757955446,0.020471787059219544
1.1200000000000008,0.22108020640733206,0.36356429106123755,0.4419325818384978,0.054794777503422216,0.020299164241860197
1.1400000000000008,0.22523281490004637,0.36242039287533384,0.6116716449163693,0.05518777083867854,0.02408934265300437
1.1600000000000008,0.23013882740030625,0.36151680887266213,0.3886229537788487,0.05549495544035327,0.02374310681452485
1.1800000000000008,0.23659249309039215,0.36217833291274737,0.20310230135242846,0.05572645013924249,0.020738795800222812
1.2000000000000008,0.2443342069417341,0.3642902950541446,0.29803511431965357,0.056168757298025396,0.017557515899897597
1.2200000000000009,0.2527410892744109,0.36632722087428793,0.29040354745747415,0.05653779064163953,0.013861376190737327
1.2400000000000009,0.2612265791021997,0.3663328106199007,0.1085297501279963,0.05693777855410128,0.015007115848382262
1.260000000000001,0.2697605314222935,0.36449012142406173,0.2060175534714493,0.05744452345577891,0.02002670742872357
1.280000000000001,0.27865196351132093,0.3626042023197247,0.31605017870378854,0.05801233902742531,0.02451389533415412
1.300000000000001,0.28789969698050355,0.3619415448858226,0.3740454183919111,0.05862084461640749,0.02629043921471574
