time_s,forward_m,height_m,tilt_deg,action_delta_mean_sq_rad2,stance_speed_sq_sum,stance_samples,vertical_velocity_m_s,contact_front_left,contact_front_right,contact_middle_left,contact_middle_right,contact_rear_left,contact_rear_right,foot_height_front_left_m,foot_height_front_right_m,foot_height_middle_left_m,foot_height_middle_right_m,foot_height_rear_left_m,foot_height_rear_right_m,joint_0_rad,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_8_rad,joint_9_rad,joint_10_rad,joint_11_rad,joint_12_rad,joint_13_rad,joint_14_rad,joint_15_rad,joint_16_rad,joint_17_rad,target_0_rad,target_1_rad,target_2_rad,target_3_rad,target_4_rad,target_5_rad,target_6_rad,target_7_rad,target_8_rad,target_9_rad,target_10_rad,target_11_rad,target_12_rad,target_13_rad,target_14_rad,target_15_rad,target_16_rad,target_17_rad
0.020000000000000004,6.391772794312774e-05,0.44884055958551017,0.17404733841614994,9.977409409058057e-05,0.014028172713987878,6,-0.0558818563530754,1,1,1,1,1,1,0.04197973129651372,0.04176485722757861,0.04172079160956188,0.04424200806556233,0.04185785635499886,0.04173592962835987,-0.0038291652897046243,0.7532377951594528,1.1149196854586583,-0.006065730451950945,0.7475279721199984,1.1176999501206641,0.005926343477326319,0.7559375255337668,1.1118712935715727,0.021783264222747987,0.7363071434468543,1.1407532070015132,0.014420113118256953,0.7531905549544142,1.1141630303137962,0.012101433367651314,0.7470051191463916,1.1174934716455787,-0.0026632381044942336,0.7521913801888769,1.1075887564731386,-0.004972241481125015,0.7663702815654415,1.1061042487002328,0.006189665861817815,0.7695229422095152,1.0979144002641923,0.016983465092391122,0.7379772913911724,1.1222155869253447,0.008176951715746,0.7630134631302593,1.1091909432694464,0.0028140621080271068,0.7595159332465743,1.0993941570044172
0.04000000000000002,0.00047673604390148847,0.44916053527538,0.21837433222203623,4.85294650454651e-05,0.00031546527542410227,5,0.08635311429128267,1,1,1,0,1,1,0.04328287811595616,0.042826167540762766,0.0427348051168836,0.045972558053033324,0.0431041253533154,0.04273351503115089,-0.00610035332716215,0.7503819140512398,1.121387713959914,-0.01233058980712374,0.7441962098278241,1.1239533348206814,0.008265980955508321,0.7544083046745209,1.1153642378343471,0.03697055196757357,0.726570401511777,1.1420350642973356,0.015629180350673174,0.7500479710833443,1.1192152196901313,0.007865474025483574,0.7431926732707095,1.1217453533176618,-0.005595111093418891,0.7492423967947166,1.1133018281289526,-0.008429204925777211,0.7681944678970528,1.109091315646201,0.010703315674799185,0.7746169928156269,1.096136398825604,0.02979021699011325,0.7233553653110887,1.1386709443332914,0.014005580083102905,0.7661018440428682,1.1157518921282135,0.005039165926993015,0.7587974721790223,1.0963449649695227
0.06000000000000004,0.0012514531851152122,0.4513158039644724,0.24441145424084068,1.5019774275627793e-05,0.0013166783231812731,5,0.1010463830204346,1,1,1,0,1,1,0.044111802392292926,0.04343954575642295,0.04331973523813751,0.04854637770398457,0.04410331187762065,0.043294821117579624,-0.00568250087239149,0.7556774507705551,1.1131247385073832,-0.015147745679866525,0.7501668223397779,1.1156278173080505,0.011753926174126954,0.7616469070785847,1.103221147518931,0.040421859790319294,0.7170873965008631,1.1410917544836772,0.01601913001408592,0.7560653773274929,1.110246320019792,0.003308759220192663,0.7501662584647494,1.1088247859113278,-0.006802531794125794,0.7444163793899138,1.1117934386428294,-0.011546586054672897,0.7685262322822922,1.11234944687063,0.014131400623991555,0.7749050709415086,1.095071896850694,0.036782847706944906,0.713689088417441,1.1451274779057523,0.015265893386380864,0.7657632558302262,1.1200656889740956,0.005138500412770136,0.7566422099016862,1.0953788381854626
0.08000000000000006,0.002173225437130334,0.45234351717629384,0.3016758865154987,1.265399864043638e-05,9.424309642871523e-05,3,0.011986989920255013,0,1,1,0,0,1,0.045263334065217875,0.043881355616072926,0.043751575984660146,0.05320139777176003,0.046407335280630874,0.04371117212876441,-0.007356236984277065,0.7514491138390444,1.1141619886048506,-0.012215133933124197,0.7504583728016032,1.1154185288564606,0.014809407609787597,0.7643895791610046,1.098308132726828,0.042555207633867366,0.7004300609980143,1.1576516706471318,0.018166566284820263,0.7589043545274191,1.1241255566330084,0.005206421879937856,0.7548576224119433,1.1009904580863263,-0.008319613036616796,0.7421697700927938,1.1097008276074465,-0.01484341125771745,0.7636464419450976,1.115562787955646,0.01732673472730275,0.7707945036109696,1.0935218206711523,0.041833838099979155,0.7062220599728132,1.1497102856508525,0.01584190452798697,0.7658888962796712,1.1232303694705925,0.004788656602618992,0.7530662506980869,1.0913808714267037
0.10000000000000007,0.003381825606253083,0.45165852705845,0.32486224784480017,1.5665984208204742e-05,0.0002077050697715571,3,-0.06226632104192017,1,1,1,0,0,1,0.044812316705967276,0.044190472760738175,0.04404024866835049,0.05257430159468837,0.04541532699905318,0.04396976672834765,-0.012238868518750829,0.7440306544478419,1.1063480229717348,-0.016787355878501758,0.7464361284751693,1.1248205838190994,0.022579503068871267,0.759954272911452,1.1049661022258548,0.04607892275487803,0.6966032623464108,1.1467166101507245,0.014146091953840971,0.7694737807253111,1.1287122184029907,0.0005556802682553524,0.7511256279011397,1.1043757978251445,-0.010270700659149748,0.7389086105855147,1.1061887773657009,-0.018608940716087,0.7574386977178654,1.1177821946205249,0.020990142399133254,0.7656796483847692,1.0912148062591345,0.04644965843352647,0.6993471724048403,1.1529889843001064,0.015304999207287643,0.7632115211422303,1.1261292749731762,0.0033554081490632906,0.7497038378863659,1.0847381601918205
0.12000000000000009,0.004945223643617772,0.4503996605400243,0.38700720588594967,2.3568879785946723e-05,0.016707675762732646,4,-0.04277039491127055,1,1,1,0,1,1,0.04476682012544664,0.044279639102128066,0.044105206319989654,0.05221913503571762,0.04404765354547524,0.04396386585130507,-0.0120545811510818,0.7365468649417725,1.114214753345424,-0.025122143786481862,0.7401497057705059,1.1375639524571837,0.030217598255849427,0.7547687139054711,1.113462271810714,0.05352230463807596,0.691590307602974,1.1540509247650121,0.014362111585752926,0.7718365763464132,1.130504443970563,-0.003770126040636145,0.7457303235461376,1.1090246039443843,-0.01241284240038694,0.7345358070562438,1.102260688417975,-0.023303344232271164,0.7489291017859968,1.120692394994081,0.025298530679101552,0.7581610654093476,1.0878278621613398,0.050396827877748726,0.6926366965071874,1.1545805575746686,0.014285987752242046,0.7593249106291201,1.1287989127685067,0.0013481171330451723,0.7462483434072381,1.0750824531605483
0.1400000000000001,0.006771205522150527,0.45050809362741545,0.5283489951907542,3.4087226152648184e-05,0.0017988699395434505,4,0.04352658502277511,1,1,1,0,0,1,0.04446646860503006,0.04426238948962535,0.04405329810372466,0.05219305137183583,0.045559443706849306,0.043768550227276076,-0.013778770849936334,0.7353777224177955,1.1160054279031366,-0.03166120214766103,0.7379457602653698,1.1418493933721598,0.03196245561195235,0.7555354296959423,1.1117607090768309,0.054852492594724835,0.6928032390919887,1.155013664584769,0.012630396624074636,0.7651030001819873,1.1326940131590295,-0.006677274954636292,0.7491379461482669,1.1002673213115821,-0.014328169039031802,0.7302565430724807,1.0982124607366852,-0.028995647208722893,0.7383607463721036,1.124944300558231,0.030752000437927147,0.7485890380786515,1.0841371055099276,0.0525279235045265,0.6865167599392455,1.1550676784422325,0.01321690626873431,0.754521973051309,1.1300183846751377,-0.001809089124467366,0.7427472068996546,1.0613752350241994
0.16000000000000011,0.009063353945156297,0.4516436546584185,0.7465669556857829,4.804026665691326e-05,0.0010322615548478463,4,0.053037921237274514,1,1,1,0,0,1,0.04426094021847171,0.04435966709680514,0.04410876473430936,0.05311844966367332,0.048785315308798066,0.04360112842468497,-0.014659855785424978,0.7372582693815499,1.1135228417867098,-0.037149418560100754,0.7380999761872387,1.1415372221174986,0.035874365202807186,0.7604390287893031,1.1032900121047673,0.05122349125968076,0.691062468500524,1.1529050153721208,0.011811779015275787,0.7526060267523523,1.1291045571791332,-0.007094915699634496,0.757769493041978,1.0823327210021094,-0.015565062290871678,0.7245220892508583,1.0932206158060467,-0.03605263221060895,0.7267776117973548,1.1306214169852145,0.037354691633738786,0.7373309887871806,1.080202239392935,0.05276614476488094,0.6808484446024784,1.1534844575886585,0.011756977494490813,0.7482629057258212,1.1301623261886258,-0.00625220064590261,0.7395346251568092,1.0441332149976397
0.18000000000000013,0.011799699518125336,0.4521287042655945,1.0490999923073965,5.3019458151623425e-05,0.0011504270578408977,2,-0.0007728714783469485,1,0,0,0,0,1,0.044186579939717835,0.04541980669039064,0.04518077867896514,0.055379595662890024,0.05257357485725489,0.04360795874612736,-0.015833188067720418,0.733450719976354,1.118852300582502,-0.04495517855480167,0.7261878628597435,1.1469150764493776,0.04585818026591939,0.7548028862693371,1.101850082028053,0.05097568456160911,0.6797482825771224,1.154513475735019,0.009278464782239737,0.736506371271625,1.1276850565931995,-0.009893370063654778,0.7654102688668861,1.06705878750731,-0.01678222447015792,0.7183777996115874,1.0893215632541928,-0.04308856253307612,0.7126432544672145,1.1373723115880887,0.04399236316165218,0.7238103453408411,1.0774165123528476,0.05230938714054474,0.6746569580860727,1.1519955435261844,0.010807944326425623,0.7410499208582167,1.129518862709847,-0.010744711248637497,0.7335048458436604,1.0293080539236263
0.20000000000000015,0.014583470640352038,0.450981903188081,1.315038635974002,5.8130415668088404e-05,0.004950107406273481,2,-0.08862827956772554,1,0,0,0,0,1,0.04403811903717736,0.04669469856536593,0.046060132038583945,0.05605389516747358,0.054400582347705145,0.044280007026446605,-0.01736685688702766,0.7247201005473447,1.1332371375840444,-0.053656304592997014,0.6973979965919375,1.1486369975837876,0.054399348819118544,0.7257914658058916,1.0749309169138483,0.050621512802794345,0.6653153685445451,1.1481347475259887,0.009731199229308799,0.7239755352042734,1.124672702759164,-0.0177461964333081,0.7602143321583796,1.0679251007714903,-0.01754992331271696,0.7110631265826742,1.0864452663757875,-0.048190095327130526,0.6956647492697535,1.1453272813603943,0.04902210893011241,0.7076973293551986,1.0781775828514149,0.05116368939902566,0.6675996765706298,1.150523714928521,0.010260854743527758,0.7322423023743183,1.127972470215472,-0.01497549425638601,0.7212434243927534,1.024937008906204
