update,mode,treatment,seed,seconds,forward_m,sideways_m,minimum_height_m,total_reward,terminated,truncated,clipped_targets
50,sampled,PPO n=50 | sampled | seed=201,201,4.999999999999671,0.3270553366324661,0.16495957929819796,0.4476096848453843,27.69822490351624,False,True,0
50,sampled,PPO n=50 | sampled | seed=202,202,4.999999999999671,0.36312255322846543,0.0796115352938749,0.44804364422701387,29.415177350950557,False,True,0
50,sampled,PPO n=50 | sampled | seed=203,203,4.999999999999671,0.23683417616238975,0.11105703721192517,0.4487989015871808,23.107266034540345,False,True,0
50,sampled,PPO n=50 | sampled | seed=204,204,4.999999999999671,0.294823906918655,0.1363622259514923,0.44679721132332734,26.047550055914027,False,True,0
50,sampled,PPO n=50 | sampled | seed=205,205,4.999999999999671,0.352598855772998,-0.020420283870497005,0.4478243727953509,28.888445505388802,False,True,0
50,sampled,PPO n=50 | sampled | seed=206,206,4.999999999999671,0.2912201588823563,0.06821431334573803,0.4491459917851613,25.88362068061519,False,True,0
50,sampled,PPO n=50 | sampled | seed=207,207,4.999999999999671,0.3126349760346377,0.034772255525179076,0.44834069052509656,26.98253413708185,False,True,0
50,sampled,PPO n=50 | sampled | seed=208,208,4.999999999999671,0.3390088921974634,0.12058918798905957,0.44869679590359995,28.20035544040468,False,True,0
50,sampled,PPO n=50 | sampled | seed=209,209,4.999999999999671,0.2240775996572643,0.0679458981218391,0.4479198958718587,22.491444908372312,False,True,0
50,sampled,PPO n=50 | sampled | seed=210,210,4.999999999999671,0.29803704959391136,0.04894428540347784,0.4478155791215622,26.170301015204416,False,True,0
50,sampled,PPO n=50 | sampled | seed=211,211,4.999999999999671,0.31033777914128874,0.07592878815143157,0.4484167495160874,26.840551414988223,False,True,0
50,sampled,PPO n=50 | sampled | seed=212,212,4.999999999999671,0.31067889736584126,0.07233101962850426,0.446552101002185,26.850011114830185,False,True,0
50,mean,PPO n=50 | mean | seed=201,201,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=202,202,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=203,203,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=204,204,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=205,205,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=206,206,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=207,207,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=208,208,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=209,209,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=210,210,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=211,211,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
50,mean,PPO n=50 | mean | seed=212,212,4.999999999999671,0.0028707720014570924,-0.0021845401833516867,0.44962330917117566,11.452679774521997,False,True,0
100,sampled,PPO n=100 | sampled | seed=201,201,4.999999999999671,1.5047059177672952,0.12092006926590114,0.44710452325581274,86.6370448459161,False,True,0
100,sampled,PPO n=100 | sampled | seed=202,202,4.999999999999671,1.4177695511798953,0.296224895571528,0.4474522283675365,82.16212434612686,False,True,0
100,sampled,PPO n=100 | sampled | seed=203,203,4.999999999999671,1.2968727030839555,0.06906859280161466,0.4472893154943177,76.17551484793647,False,True,0
100,sampled,PPO n=100 | sampled | seed=204,204,4.999999999999671,1.310896376305036,-0.018602183075657835,0.44753994825741555,76.89741834978496,False,True,0
100,sampled,PPO n=100 | sampled | seed=205,205,4.999999999999671,1.35582995284531,-0.07270982008953852,0.44711172514387926,79.18131851010683,False,True,0
100,sampled,PPO n=100 | sampled | seed=206,206,4.999999999999671,1.383183594998284,-0.09387299201927922,0.4478860944142863,80.53835979294854,False,True,0
100,sampled,PPO n=100 | sampled | seed=207,207,4.999999999999671,1.456108678329597,-0.1308835092584859,0.44685274363888405,84.11104197338453,False,True,0
100,sampled,PPO n=100 | sampled | seed=208,208,4.999999999999671,1.353036903437841,-0.1185256217225019,0.4468613151753895,78.89758022577838,False,True,0
100,sampled,PPO n=100 | sampled | seed=209,209,4.999999999999671,1.3112431235057227,0.08433790288080575,0.44685482991680003,76.86608423886555,False,True,0
100,sampled,PPO n=100 | sampled | seed=210,210,4.999999999999671,1.3995386416055116,-0.017630929410341355,0.4466604603920796,81.32984048829888,False,True,0
100,sampled,PPO n=100 | sampled | seed=211,211,4.999999999999671,1.3425598666338112,-0.1420715054016158,0.44642210871034305,78.5056975852746,False,True,0
100,sampled,PPO n=100 | sampled | seed=212,212,4.999999999999671,1.3248087539095712,-0.01586155289718241,0.4473329829245103,77.47408432235439,False,True,0
100,mean,PPO n=100 | mean | seed=201,201,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=202,202,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=203,203,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=204,204,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=205,205,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=206,206,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=207,207,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=208,208,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=209,209,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=210,210,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=211,211,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
100,mean,PPO n=100 | mean | seed=212,212,4.999999999999671,1.8941372500900548,0.10123544764976615,0.4484744321505453,106.0384467644269,False,True,0
